代码,晨星专属号,名称,类型,三年评级,五年评级,今年回报率
3031, 0P00018EXN, 安信新目标灵活配置混合C, 灵活配置型基金,0,0,3.37
3754, 0P00019B35, 国泰普益灵活配置混合A, 灵活配置型基金,0,0,3.99
3849, 0P00019A69, 中银广利灵活配置混合C, 灵活配置型基金,0,0,4.34
273, 0P000148WN, 华润元大安鑫灵活配置混合A, 沪港深灵活配置型,0,0,7.13
160419, 0P000162Z0, 华安中证全指证券公司指数（LOF）A, 行业股票 - 金融地产,0,0,-6.74
1810, 0P00016JRX, 中欧潜力价值灵活配置混合A, 灵活配置型基金,0,0,1.76
1335, 0P000160TI, 南方利众灵活配置混合A, 灵活配置型基金,0,0,2.56
218, 0P00017QLM, 国泰黄金ETF联接A, 商品 - 贵金属,0,0,-1.96
1682, 0P00016I0R, 新华鑫回报混合, 灵活配置型基金,0,0,1.47
2611, 0P00017RK9, 博时黄金ETF联接C, 商品 - 贵金属,0,0,-1.92
165531, 0P0001C5BN, 信诚多策略灵活配置混合（LOF）, 灵活配置型基金,0,0,8.03
502010, 0P000168DY, 易方达证券公司指数（LOF）, 行业股票 - 金融地产,0,0,-6.47
160517, 0P000162B1, 博时中证银行指数（LOF）, 行业股票 - 金融地产,0,0,12.07
1970, 0P000178UG, 泰信鑫选灵活配置混合A, 灵活配置型基金,0,0,1.85
1147, 0P00015L1N, 中欧瑾源灵活配置混合 - C, 灵活配置型基金,0,0,5.08
972, 0P00015H5M, 新华万银多元策略灵活配置混合, 灵活配置型基金,0,0,-8.3
1470, 0P0001660A, 融通通鑫灵活配置混合, 灵活配置型基金,0,0,2.19
2819, 0P000195CX, 招商丰美灵活配置混合A, 灵活配置型基金,0,0,2.82
162414, 0P000163GS, 华宝新机遇灵活配置混合(LOF)A, 灵活配置型基金,0,0,2.41
190, 0P00016EOQ, 中银新回报灵活配置混合A, 灵活配置型基金,0,0,3.13
3755, 0P00019B36, 国泰普益灵活配置混合C, 灵活配置型基金,0,0,3.97
2580, 0P00017X4O, 泰信鑫选灵活配置混合C, 灵活配置型基金,0,0,2.71
2977, 0P00018AZG, 广发中证全指可选消费ETF联接C, 行业股票 - 消费,0,0,6.99
1201, 0P00015U46, 申万菱信安鑫回报灵活配置混合A, 灵活配置型基金,0,0,4.4
307, 0P00017TTH, 易方达黄金ETF联接A, 商品 - 贵金属,0,0,-1.93
1146, 0P00015KX2, 中欧瑾源灵活配置混合 - A, 灵活配置型基金,0,0,5.08
1412, 0P000165N6, 德邦鑫星价值灵活配置混合A, 灵活配置型基金,0,0,4.9
1183, 0P00015QRR, 南方利淘灵活配置混合A, 灵活配置型基金,0,0,3.17
1727, 0P00016FIE, 申万菱信安鑫回报灵活配置混合C, 灵活配置型基金,0,0,4.43
470888, 0P00011S6I, 汇添富香港优势精选混合 (QDII), 大中华区股债混合,0,0,15.37
1504, 0P000168G3, 南方利淘灵活配置混合C, 灵活配置型基金,0,0,3.18
3848, 0P00019A68, 中银广利灵活配置混合A, 灵活配置型基金,0,0,4.35
597, 0P000132VL, 中海积极收益灵活配置混合, 灵活配置型基金,0,0,2.38
5459, 0P0001CEO8, 银河嘉谊灵活配置混合A, 灵活配置型基金,0,0,4.01
1464, 0P000165ZT, 光大保德信鼎鑫灵活配置混合A, 灵活配置型基金,0,0,4.62
1111, 0P00015H5P, 中欧瑾泉灵活配置混合 - C, 灵活配置型基金,0,0,4.6
1789, 0P00019RVA, 国泰量化收益灵活配置混合, 灵活配置型基金,0,0,6.14
3432, 0P00018SN8, 信诚至瑞灵活配置混合A, 灵活配置型基金,0,0,2.91
5460, 0P0001CEO9, 银河嘉谊灵活配置混合C, 灵活配置型基金,0,0,4
2963, 0P00018AQ2, 易方达黄金ETF联接C, 商品 - 贵金属,0,0,-1.97
519761, 0P000170Z1, 交银施罗德多策略回报灵活配置混合C, 灵活配置型基金,0,0,2.39
512700, 0P0001AHZP, 南方中证银行ETF, 行业股票 - 金融地产,0,0,12.45
4773, 0P0001BCST, 国寿安保稳泰一年定期开放混合C, 保守混合型基金（封闭式）,0,0,1.98
2328, 0P00017P98, 银华泰利灵活配置混合C, 灵活配置型基金,0,0,3.13
5146, 0P0001BKG1, 兴银丰润灵活配置混合, 灵活配置型基金,0,0,5.27
3495, 0P00018U0J, 鹏华弘尚灵活配置混合A, 灵活配置型基金,0,0,1.15
1110, 0P00015H5O, 中欧瑾泉灵活配置混合 - A, 灵活配置型基金,0,0,4.6
1392, 0P000163SG, 国富金融地产灵活配置混合A, 灵活配置型基金,0,0,9.09
519616, 0P00018KH5, 银河君信灵活配置混合A, 灵活配置型基金,0,0,4.02
3144, 0P00018H2Y, 华宝新机遇灵活配置混合(LOF)C, 灵活配置型基金,0,0,2.41
4253, 0P0001AELE, 国泰黄金ETF联接C, 商品 - 贵金属,0,0,-2
4008, 0P00019BUM, 中融鑫思路灵活配置混合A, 灵活配置型基金,0,0,4.54
2820, 0P000195CY, 招商丰美灵活配置混合C, 灵活配置型基金,0,0,2.82
1835, 0P0001AEXO, 易方达瑞祥灵活配置混合I, 灵活配置型基金,0,0,2.72
572, 0P00012HKZ, 中银多策略灵活配置混合A, 灵活配置型基金,0,0,3.23
3379, 0P00018OL7, 信诚至选灵活配置混合A, 灵活配置型基金,0,0,2.95
3433, 0P00018SN9, 信诚至瑞灵活配置混合C, 灵活配置型基金,0,0,2.9
3496, 0P00018U0K, 鹏华弘尚灵活配置混合C, 灵活配置型基金,0,0,1.13
1836, 0P0001AEXP, 易方达瑞祥灵活配置混合E, 灵活配置型基金,0,0,2.73
4436, 0P00019WX7, 汇添富年年泰定期开放混合A, 保守混合型基金（封闭式）,0,0,3.82
1285, 0P00015ZIK, 易方达新鑫灵活配置混合I, 灵活配置型基金,0,0,2.64
4069, 0P00019KUI, 南方中证全指证券公司ETF联接A, 行业股票 - 金融地产,0,0,-6.81
2112, 0P000170F2, 德邦鑫星价值灵活配置混合C, 灵活配置型基金,0,0,4.89
1552, 0P00016A04, 天弘中证证券保险指数型发起式 A, 行业股票 - 金融地产,0,0,-7.08
519755, 0P000162QU, 交银施罗德多策略回报灵活配置混合A, 灵活配置型基金,0,0,2.46
4011, 0P00019DXR, 华泰柏瑞鼎利灵活配置混合C, 灵活配置型基金,0,0,4.05
2561, 0P00017Z3Z, 东吴安鑫量化灵活配置混合, 灵活配置型基金,0,0,3.47
2060, 0P0001706M, 东方新策略灵活配置混合C, 灵活配置型基金,0,0,3.94
161211, F0000004IY, 国投瑞银沪深300金融地产ETF联接, 行业股票 - 金融地产,0,0,2.93
3283, 0P00018OT3, 信诚至裕灵活配置混合C, 灵活配置型基金,0,0,3.78
3282, 0P00018OT2, 信诚至裕灵活配置混合A, 灵活配置型基金,0,0,3.8
3380, 0P00018OL8, 信诚至选灵活配置混合C, 灵活配置型基金,0,0,2.94
3117, 0P00018IVC, 光大保德信吉鑫灵活配置混合A, 灵活配置型基金,0,0,3
502053, 0P00016DCH, 长盛中证全指证券公司指数（LOF）, 行业股票 - 金融地产,0,0,-5.95
345, 0P0000ZQ2Z, 鹏华丰融定期开放债券, 普通债券型基金（封闭式）,0,0,0.18
160814, 0P000162QB, 长盛中证金融地产指数（LOF）, 行业股票 - 金融地产,0,0,1.2
1414, 0P0001645C, 中融鑫起点灵活配置混合C, 灵活配置型基金,0,0,9.13
4009, 0P00019BUN, 中融鑫思路灵活配置混合C, 灵活配置型基金,0,0,4.53
1823, 0P00016ZMB, 光大保德信鼎鑫灵活配置混合C, 灵活配置型基金,0,0,4.59
2934, 0P00018APW, 泰康恒泰回报灵活配置混合A, 灵活配置型基金,0,0,4.49
519771, 0P00017SVV, 交银优择回报灵活配置混合C, 灵活配置型基金,0,0,2.62
3208, 0P00018LQ2, 东兴量化多策略灵活配置混合, 灵活配置型基金,0,0,15.69
1254, 0P00015XD1, 泰达宏利新起点灵活配置混合A, 灵活配置型基金,0,0,5.42
2618, 0P00017TTB, 中银裕利灵活配置混合A, 灵活配置型基金,0,0,3.59
96001, 0P0000SEJP, 大成标普500等权重指数(QDII), 美国股票,0,0,3.52
519617, 0P00018KH6, 银河君信灵活配置混合C, 灵活配置型基金,0,0,3.97
1723, 0P00016JCC, 华商新动力灵活配置混合, 积极配置型,0,0,12.76
1635, 0P0001701N, 万家瑞益灵活配置混合A, 灵活配置型基金,0,0,4.32
519768, 0P00017SVP, 交银优选回报灵活配置混合A, 灵活配置型基金,0,0,3.21
2212, 0P000178UH, 嘉实新起航灵活配置混合, 灵活配置型基金,0,0,5.26
160633, 0P00015WH0, 鹏华中证全指证券公司指数（LOF）, 行业股票 - 金融地产,0,0,-6.9
320013, 0P0000RW1L, 诺安全球黄金(QDII-FOF), 商品 - 其它,0,0,-3.7
1334, 0P000160TH, 南方利鑫灵活配置混合A, 灵活配置型基金,0,0,2.51
5027, 0P0001C1VM, 光大保德信多策略优选一年定期开放灵活配置混合, 灵活配置型基金（封闭式）,0,0,4.82
3118, 0P00018IVD, 光大保德信吉鑫灵活配置混合C, 灵活配置型基金,0,0,2.98
1553, 0P00016A05, 天弘中证证券保险指数型发起式 C, 行业股票 - 金融地产,0,0,-7.1
2313, 0P00017BN9, 泰达宏利新起点灵活配置混合B, 灵活配置型基金,0,0,5.43
241001, F00000049N, 华宝海外中国混合(QDII), 大中华区股债混合,0,0,15.6
519007, F0000003ZL, 海富通强化回报混合, 灵活配置型基金,0,0,5.75
2619, 0P00017TTC, 中银裕利灵活配置混合C, 灵活配置型基金,0,0,3.59
4534, 0P0001A4V6, 汇添富年年益定期开放混合A, 保守混合型基金（封闭式）,0,0,4.26
1362, 0P000161GS, 景顺长城领先回报灵活配置混合A, 灵活配置型基金,0,0,2.99
4070, 0P00019KUJ, 南方中证全指证券公司ETF联接C, 行业股票 - 金融地产,0,0,-6.86
1261, 0P00015WRR, 中融新机遇灵活配置混合, 灵活配置型基金,0,0,0.54
1286, 0P00015ZIL, 易方达新鑫灵活配置混合E, 灵活配置型基金,0,0,2.68
2023, 0P00019RV8, 红塔红土稳健回报灵活配置混合A, 灵活配置型基金,0,0,3.79
1503, 0P000168G4, 南方利鑫灵活配置混合C, 灵活配置型基金,0,0,2.51
2339, 0P0001793U, 海富通安颐收益混合C, 灵活配置型基金,0,0,3.86
3062, 0P00018FZ1, 银华通利灵活配置混合A, 灵活配置型基金,0,0,3.61
4597, 0P0001AHZN, 南方中证银行ETF联接A, 行业股票 - 金融地产,0,0,12.37
1379, 0P00016482, 景顺长城领先回报灵活配置混合C, 灵活配置型基金,0,0,3
2614, 0P00018GAL, 中银颐利灵活配置混合A, 灵活配置型基金,0,0,3.5
519769, 0P00017SVQ, 交银优选回报灵活配置混合C, 灵活配置型基金,0,0,3.16
573, 0P00012BTV, 天弘通利混合, 灵活配置型基金,0,0,3.28
501048, 0P0001BV7B, 汇添富中证全指证券公司指数LOF C, 行业股票 - 金融地产,0,0,-6.99
2615, 0P00018GAM, 中银颐利灵活配置混合C, 灵活配置型基金,0,0,3.44
1423, 0P000165U2, 景顺长城安享回报灵活配置混合C, 灵活配置型基金,0,0,1.86
1614, 0P00018DMJ, 东方区域发展混合, 灵活配置型基金,0,0,1.56
1302, 0P000163XF, 前海开源金银珠宝主题精选混合A, 灵活配置型基金,0,0,-1.47
5088, 0P0001BK7U, 嘉实新添辉定期开放灵活配置混合A, 灵活配置型基金（封闭式）,0,0,7.2
1433, 0P00016684, 易方达瑞景灵活配置混合, 灵活配置型基金,0,0,2.72
2728, 0P00018KTW, 华富益鑫灵活配置混合A, 灵活配置型基金,0,0,2.52
161121, 0P000160TO, 易方达中证银行指数（LOF）A, 行业股票 - 金融地产,0,0,11.74
4437, 0P00019WX8, 汇添富年年泰定期开放混合C, 保守混合型基金（封闭式）,0,0,3.75
2908, 0P00018L83, 富国睿利定期开放混合, 保守混合型基金（封闭式）,0,0,3.48
519770, 0P00017SVU, 交银优择回报灵活配置混合A, 灵活配置型基金,0,0,2.65
1422, 0P000165U1, 景顺长城安享回报灵活配置混合A, 灵活配置型基金,0,0,1.84
3064, 0P00018EDN, 南方荣欢定期开放混合, 保守混合型基金（封闭式）,0,0,1.21
1332, 0P000161ZP, 鹏华弘信灵活配置混合C, 灵活配置型基金,0,0,3.26
1636, 0P0001701O, 万家瑞益灵活配置混合C, 灵活配置型基金,0,0,4.3
4010, 0P00019DXQ, 华泰柏瑞鼎利灵活配置混合A, 灵活配置型基金,0,0,4.17
3026, 0P00018HA4, 安信新价值灵活配置混合A, 灵活配置型基金,0,0,3.81
1399, 0P000163XR, 安信鑫安得利灵活配置混合A, 灵活配置型基金,0,0,3.34
519627, 0P00019DXW, 银河君润灵活配置混合A, 灵活配置型基金,0,0,3.32
1326, 0P000161ZU, 鹏华弘和灵活配置混合C, 灵活配置型基金,0,0,4.09
1318, 0P0001617O, 东方新策略灵活配置混合A, 灵活配置型基金,0,0,3.97
1903, 0P00016ZC0, 光大保德信欣鑫灵活配置混合A, 灵活配置型基金,0,0,3.03
161027, 0P00015I8M, 富国中证全指证券公司指数, 行业股票 - 金融地产,0,0,-6.43
1904, 0P00016ZC1, 光大保德信欣鑫灵活配置混合C, 灵活配置型基金,0,0,3.08
3092, 0P00018JRY, 华商丰利增强定期开放债券A, 积极债券型（封闭式）,0,0,0.63
3063, 0P00018FZ2, 银华通利灵活配置混合C, 灵活配置型基金,0,0,3.57
2207, 0P000172UT, 前海开源金银珠宝主题精选混合C, 灵活配置型基金,0,0,-1.5
3279, 0P00018SND, 融通沪港深智慧生活灵活配置混合, 沪港深灵活配置型,0,0,5.17
4451, 0P00019WX9, 汇添富年年丰定期开放混合A, 保守混合型基金（封闭式）,0,0,3.81
1325, 0P000161ZT, 鹏华弘和灵活配置混合A, 灵活配置型基金,0,0,4.08
1331, 0P000161ZO, 鹏华弘信灵活配置混合A, 灵活配置型基金,0,0,3.27
501047, 0P0001BV7A, 汇添富中证全指证券公司指数LOF A, 行业股票 - 金融地产,0,0,-6.96
519628, 0P00019DXX, 银河君润灵活配置混合C, 灵活配置型基金,0,0,3.31
4535, 0P0001A4V7, 汇添富年年益定期开放混合C, 保守混合型基金（封闭式）,0,0,4.21
519610, 0P00017PZ8, 银河旺利灵活配置混合A, 灵活配置型基金,0,0,1.45
1330, 0P000161ZR, 鹏华弘实灵活配置混合C, 灵活配置型基金,0,0,4.14
1249, 0P00015W2Z, 易方达新利灵活配置混合, 灵活配置型基金,0,0,2.7
512900, 0P00019MHJ, 南方中证全指证券公司ETF, 行业股票 - 金融地产,0,0,-7.13
519050, 0P0000YKO9, 海富通安颐收益混合A, 灵活配置型基金,0,0,3.79
1329, 0P000161ZQ, 鹏华弘实灵活配置混合A, 灵活配置型基金,0,0,4.15
1430, 0P000165U0, 中邮乐享收益灵活配置混合, 灵活配置型基金,0,0,3.08
1122, 0P00015HFU, 鹏华弘利灵活配置混合 - A, 灵活配置型基金,0,0,1.62
1328, 0P000161ZW, 鹏华弘华灵活配置混合C, 灵活配置型基金,0,0,4.04
3027, 0P00018HA5, 安信新价值灵活配置混合C, 灵活配置型基金,0,0,3.79
512570, 0P0001AMRT, 易方达中证全指证券公司ETF, 行业股票 - 金融地产,0,0,-7.11
519957, 0P000167RX, 长信睿进灵活配置混合A, 灵活配置型基金,0,0,1.43
1746, 0P0001AEXN, 易方达瑞富灵活配置混合E, 灵活配置型基金,0,0,2.34
4598, 0P0001AHZO, 南方中证银行ETF联接C, 行业股票 - 金融地产,0,0,12.32
5493, 0P0001CG05, 鑫元价值精选灵活配置混合A, 沪港深灵活配置型,0,0,9.92
160719, 0P0000TKYR, 嘉实黄金(QDII-FOF-LOF), 商品 - 其它,0,0,-4.01
165527, 0P000173TO, 信诚新旺回报灵活配置混合(LOF) C, 灵活配置型基金,0,0,2.65
1755, 0P000179WI, 嘉实新思路灵活配置混合, 灵活配置型基金,0,0,4.84
3345, 0P00018O2S, 安信新成长灵活配置混合A, 灵活配置型基金,0,0,3.23
2729, 0P00018KTX, 华富益鑫灵活配置混合C, 灵活配置型基金,0,0,2.53
2494, 0P00017JTX, 兴业聚盈灵活配置混合, 灵活配置型基金,0,0,1.94
1068, 0P00015KAA, 华融新锐灵活配置混合, 灵活配置型基金,0,0,7.06
1745, 0P0001AEXM, 易方达瑞富灵活配置混合I, 灵活配置型基金,0,0,2.34
1400, 0P000163XS, 安信鑫安得利灵活配置混合C, 灵活配置型基金,0,0,3.32
1327, 0P000161ZV, 鹏华弘华灵活配置混合A, 灵活配置型基金,0,0,4.04
2211, 0P000178UI, 嘉实新财富灵活配置混合, 灵活配置型基金,0,0,4.94
165526, 0P0001675B, 信诚新旺回报灵活配置混合(LOF) A, 灵活配置型基金,0,0,2.66
2009, 0P00016ZC2, 中欧瑾通灵活配置混合A, 灵活配置型基金,0,0,1.9
5089, 0P0001BK7V, 嘉实新添辉定期开放灵活配置混合C, 灵活配置型基金（封闭式）,0,0,7.12
4446, 0P0001AJ48, 南方荣年定期开放混合A, 保守混合型基金（封闭式）,0,0,0.75
1765, 0P00019GDP, 前海开源嘉鑫灵活配置混合A, 灵活配置型基金,0,0,2.14
3603, 0P000199J9, 景顺长城泰安回报灵活配置混合A, 灵活配置型基金,0,0,3.02
1123, 0P00015HFV, 鹏华弘利灵活配置混合 - C, 灵活配置型基金,0,0,1.58
2134, 0P00017C7Z, 广发鑫裕灵活配置混合A, 灵活配置型基金,0,0,2.69
501053, 0P0001CCIY, 东方红目标优选三年定期开放混合, 沪港深保守混合型（封闭式）,0,0,0.76
3142, 0P00018GAP, 鹏华弘达灵活配置混合A, 灵活配置型基金,0,0,3.61
1770, 0P00019GDQ, 前海开源嘉鑫灵活配置混合C, 灵活配置型基金,0,0,2.16
164701, 0P0000TPYI, 汇添富黄金及贵金属 (QDII-LOF-FOF), 商品 - 其它,0,0,-4.4
3093, 0P00018JRZ, 华商丰利增强定期开放债券C, 积极债券型（封闭式）,0,0,0.56
1265, 0P00015YLT, 国泰兴益灵活配置混合A, 灵活配置型基金,0,0,3.89
519611, 0P00017PZ9, 银河旺利灵活配置混合C, 灵活配置型基金,0,0,1.3
4452, 0P00019WXA, 汇添富年年丰定期开放混合C, 保守混合型基金（封闭式）,0,0,3.76
3143, 0P00018GAQ, 鹏华弘达灵活配置混合C, 灵活配置型基金,0,0,3.6
519738, 0P00012SE0, 交银周期回报灵活配置混合A, 灵活配置型基金,0,0,2.36
3346, 0P00018O2T, 安信新成长灵活配置混合C, 灵活配置型基金,0,0,3.21
519752, 0P00015ZJ0, 交银施罗德新回报灵活配置混合A, 灵活配置型基金,0,0,2.99
4916, 0P0001BG11, 嘉实新添丰定期开放混合, 保守混合型基金（封闭式）,0,0,6.06
2535, 0P00017MAT, 中银鑫利灵活配置混合A, 灵活配置型基金,0,0,2
1570, 0P0001706F, 南方利安灵活配置混合A, 灵活配置型基金,0,0,2.76
1247, 0P00015UUP, 华泰柏瑞新利灵活配置混合A, 灵活配置型基金,0,0,3.82
720002, 0P0000WAIJ, 财通可转债债券A, 可转债基金,0,0,7.94
1641, 0P00016JS1, 富国绝对收益多策略定期开放混合A, 市场中性策略（封闭式）,0,0,3.43
161722, 0P00015R93, 招商丰泰灵活配置混合(LOF), 灵活配置型基金,0,0,2.78
1580, 0P0001706H, 南方利安灵活配置混合C, 灵活配置型基金,0,0,2.77
5177, 0P0001C912, 华夏睿磐泰利混合A, 保守混合型基金（封闭式）,0,0,2.78
512070, 0P000135BX, 易方达沪深300非银行金融ETF, 行业股票 - 金融地产,0,0,-6
3182, 0P000195D3, 华富弘鑫灵活配置混合A, 灵活配置型基金,0,0,2.61
1530, 0P000197W5, 万家瑞富灵活配置混合, 灵活配置型基金,0,0,3.11
2055, 0P000170EI, 国泰兴益灵活配置混合C, 灵活配置型基金,0,0,3.79
3604, 0P000199JA, 景顺长城泰安回报灵活配置混合C, 灵活配置型基金,0,0,3
4278, 0P0001A2CB, 东方红智逸沪港深定期开放混合, 沪港深保守混合型（封闭式）,0,0,0.19
519759, 0P000170Z3, 交银周期回报灵活配置混合C, 灵活配置型基金,0,0,2.38
161723, 0P00015XPY, 招商中证银行指数（LOF）, 行业股票 - 金融地产,0,0,11.88
2536, 0P00017MAU, 中银鑫利灵活配置混合C, 灵活配置型基金,0,0,2.11
1939, 0P000170EU, 光大保德信睿鑫灵活配置混合A, 灵活配置型基金,0,0,3.65
2498, 0P00017N5G, 兴业聚鑫灵活配置混合A, 灵活配置型基金,0,0,1.8
501015, 0P0001BL4E, 财通多策略升级混合（LOF）, 灵活配置型基金,0,0,2.58
2018, 0P0001706Z, 鹏华弘安灵活配置混合A, 灵活配置型基金,0,0,1.33
5494, 0P0001CG06, 鑫元价值精选灵活配置混合C, 沪港深灵活配置型,0,0,9.85
519130, 0P00014IHX, 海富通新内需灵活配置混合A, 灵活配置型基金,0,0,3.91
2010, 0P00016ZC3, 中欧瑾通灵活配置混合C, 灵活配置型基金,0,0,1.87
2111, 0P00019C5B, 华宝新起点灵活配置混合, 灵活配置型基金,0,0,2.26
3629, 0P000197B1, 上投摩根全球多元配置（QDII）人民币, 环球股债混合,0,0,2.35
2091, 0P00017151, 华泰柏瑞新利灵活配置混合C, 灵活配置型基金,0,0,3.79
1342, 0P000162HK, 易方达新享灵活配置混合A, 灵活配置型基金,0,0,2.59
161029, 0P00015RPM, 富国中证银行指数, 行业股票 - 金融地产,0,0,11.8
1817, 0P0001AEXK, 易方达瑞兴灵活配置混合I, 灵活配置型基金,0,0,2.81
4475, 0P0001BF42, 华泰柏瑞富利灵活配置混合, 灵活配置型基金,0,0,5.88
4276, 0P00019QQC, 浦银安盛安和回报定期开放混合A, 保守混合型基金（封闭式）,0,0,5.68
4806, 0P0001BW1W, 长信先机两年定期开放灵活配置混合, 灵活配置型基金（封闭式）,0,0,13.84
5397, 0P0001CAAW, 南方安养混合, 保守混合型基金,0,0,3.31
3116, 0P00019AIG, 光大保德信诚鑫灵活配置混合C, 灵活配置型基金,0,0,3.5
4975, 0P0001BGWD, 交银施罗德恒益灵活配置混合, 灵活配置型基金,0,0,2.74
1172, 0P00015P0C, 鹏华弘泽灵活配置混合A, 灵活配置型基金,0,0,3.36
2075, 0P000170EX, 光大保德信睿鑫灵活配置混合C, 灵活配置型基金,0,0,3.61
1818, 0P0001AEXL, 易方达瑞兴灵活配置混合E, 灵活配置型基金,0,0,2.75
4998, 0P0001BP82, 长信全球债券人民币份额, 环球债券,0,0,-0.02
1688, 0P000170F4, 嘉实新起点灵活配置混合A, 灵活配置型基金,0,0,6.14
2660, 0P00017U1A, 兴业聚源灵活配置混合, 灵活配置型基金,0,0,2.2
2172, 0P000175TE, 海富通新内需灵活配置混合C, 灵活配置型基金,0,0,3.92
512000, 0P00018EII, 华宝中证全指证券公司ETF, 行业股票 - 金融地产,0,0,-7.17
160226, 0P000170NH, 国泰民益灵活配置混合（LOF) C, 灵活配置型基金,0,0,2.38
1675, 0P00016HUO, 江信同福灵活配置混合A, 灵活配置型基金,0,0,3.69
3692, 0P000195D1, 大成景尚灵活配置混合A, 灵活配置型基金,0,0,2.06
2116, 0P00017ELS, 广发安享灵活配置混合A, 灵活配置型基金,0,0,2.32
4999, 0P0001BP83, 长信全球债券美元份额, 环球债券,0,0,-0.31
3183, 0P000195D4, 华富弘鑫灵活配置混合C, 灵活配置型基金,0,0,2.59
5178, 0P0001C913, 华夏睿磐泰利混合C, 保守混合型基金（封闭式）,0,0,2.75
2025, 0P00017071, 广发聚盛灵活配置混合A, 灵活配置型基金,0,0,2.65
160220, 0P00011IJ3, 国泰民益灵活配置混合（LOF) A, 灵活配置型基金,0,0,2.39
1343, 0P000162HL, 易方达新享灵活配置混合C, 灵活配置型基金,0,0,2.5
3115, 0P00019AIF, 光大保德信诚鑫灵活配置混合A, 灵活配置型基金,0,0,3.51
4447, 0P0001AJ49, 南方荣年定期开放混合C, 保守混合型基金（封闭式）,0,0,0.68
1381, 0P000163A8, 鹏华弘泽灵活配置混合C, 灵活配置型基金,0,0,3.35
762, 0P00019NHQ, 汇添富绝对收益策略定期开放混合A, 市场中性策略（封闭式）,0,0,2.36
168205, 0P000163Y4, 中融中证银行指数（LOF）, 行业股票 - 金融地产,0,0,11.45
3592, 0P00019GVI, 华泰柏瑞享利灵活配置混合C, 灵活配置型基金,0,0,3.35
2019, 0P00017070, 鹏华弘安灵活配置混合C, 灵活配置型基金,0,0,1.29
3591, 0P00019GVH, 华泰柏瑞享利灵活配置混合A, 灵活配置型基金,0,0,3.36
950, 0P000153PE, 易方达沪深300非银行金融ETF联接A, 行业股票 - 金融地产,0,0,-5.81
4750, 0P0001BT4A, 广发鑫和灵活配置混合A, 灵活配置型基金,0,0,2.51
4277, 0P00019QQD, 浦银安盛安和回报定期开放混合C, 保守混合型基金（封闭式）,0,0,5.64
519956, 0P000167RY, 长信睿进灵活配置混合C, 灵活配置型基金,0,0,1.34
314, 0P0000ZQ32, 招商瑞丰灵活配置混合A, 灵活配置型基金,0,0,2.4
470088, 0P00017HYK, 汇添富6月红添利定期开放债券A, 积极债券型（封闭式）,0,0,4.53
2292, 0P0001CMNX, 诺安益鑫灵活配置混合, 灵活配置型基金,0,0,-2.32
3630, 0P000197B2, 上投摩根全球多元配置（QDII）美元现钞, 环球股债混合,0,0,2.54
163813, 0P0000S1P3, 中银全球策略(QDII-FOF), 环球股票,0,0,5.87
1194, 0P00015QIX, 景顺长城稳健回报灵活配置混合A, 灵活配置型基金,0,0,2.13
2149, 0P0001785T, 嘉实新优选灵活配置混合, 灵活配置型基金,0,0,6.67
2026, 0P00017072, 广发聚盛灵活配置混合C, 灵活配置型基金,0,0,2.66
167301, 0P000169I7, 方正富邦中证保险主题指数（LOF）, 行业股票 - 金融地产,0,0,-1.69
2159, 0P000172IH, 东吴国企改革主题灵活配置混合, 灵活配置型基金,0,0,10.15
3205, 0P0001A90G, 财通可转债债券C, 可转债基金,0,0,7.9
4353, 0P00019RFL, 嘉实新添华定期开放混合, 保守混合型基金（封闭式）,0,0,4.15
3693, 0P000195D2, 大成景尚灵活配置混合C, 灵活配置型基金,0,0,2.05
5108, 0P0001C2CF, 圆信永丰双利优选定期开放灵活配置混合, 灵活配置型基金（封闭式）,0,0,5.03
2144, 0P000170YW, 华安新优选灵活配置混合C, 灵活配置型基金,0,0,0.61
1427, 0P00016607, 招商丰泽灵活配置混合A, 灵活配置型基金,0,0,2.51
3631, 0P000197B3, 上投摩根全球多元配置（QDII）美元现汇, 环球股债混合,0,0,2.54
1035, 0P000159JO, 中银恒利半年定期开放债券, 积极债券型（封闭式）,0,0,3.03
501016, 0P0001A00W, 国泰中证申万证券行业指数（LOF）, 行业股票 - 金融地产,0,0,-9.69
512880, 0P000186MR, 国泰中证全指证券公司ETF, 行业股票 - 金融地产,0,0,-7.22
2117, 0P00017ELT, 广发安享灵活配置混合C, 灵活配置型基金,0,0,2.25
4206, 0P00019KJB, 华商元亨灵活配置混合, 灵活配置型基金,0,0,4.61
2232, 0P000173CG, 华夏新趋势灵活配置混合C, 灵活配置型基金,0,0,3.53
3333, 0P000197H6, 泰信智选成长灵活配置混合, 灵活配置型基金,0,0,11.66
3411, 0P00018PL8, 鹏华弘康灵活配置混合A, 灵活配置型基金,0,0,0.31
1676, 0P00016HUP, 江信同福灵活配置混合C, 灵活配置型基金,0,0,3.62
160520, 0P00018839, 博时弘盈定期开放混合A, 保守混合型基金（封闭式）,0,0,1.28
2231, 0P000173CF, 华夏新趋势灵活配置混合A, 灵活配置型基金,0,0,3.6
1411, 0P0001645A, 诺安创新驱动灵活配置混合A, 灵活配置型基金,0,0,11.57
894, 0P00014NH7, 中欧睿达定期开放混合A, 保守混合型基金（封闭式）,0,0,3.91
992, 0P000158FX, 广发对冲套利定期开放混合, 市场中性策略（封闭式）,0,0,3.73
